epoch,accuracy,loss,top_k_categorical_accuracy,val_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.26537904,2.192141472355068,0.75177896,0.28266665,2.1566035747528076,0.75644445
1,0.2844777,2.129265953152449,0.7685057,0.28422222,2.1251244710551367,0.7735556
2,0.2900841,2.10553278896742,0.77633,0.2682222,2.1554050710466175,0.7691111
3,0.29495117,2.081261543984797,0.7836922,0.28111112,2.1197562052143946,0.7742222
4,0.30283707,2.0581305521207183,0.79016113,0.3122222,2.0595690972275205,0.7902222
5,0.3081662,2.036813128785153,0.7964452,0.30666667,2.060375051365958,0.7928889
6,0.3131257,2.0161628568032546,0.79983366,0.28533334,2.0584330360094705,0.7968889
7,0.3217509,1.9939907665001215,0.8059637,0.314,2.071098062727186,0.7968889
8,0.32443088,1.9674874791757342,0.81548226,0.32955554,2.014892531765832,0.80355555
9,0.33462712,1.938951046050478,0.8263562,0.30155554,2.053791410393185,0.804
10,0.34405324,1.9047730572837722,0.83633673,0.32244444,2.0304030378659568,0.80355555
11,0.35680622,1.8606440199503664,0.8446539,0.32044443,2.0386161373721228,0.8002222
12,0.36906633,1.817026054958677,0.85639036,0.32,2.0499625702699027,0.80866665
13,0.38160366,1.7711221390605116,0.8686197,0.31444445,2.1398436890708075,0.802
