epoch,auc_1,categorical_accuracy,loss,val_auc_1,val_categorical_accuracy,val_loss
0,0.7342543,0.17387821,0.1791172606662831,0.6805562,0.13882446,0.21792675321921706
1,0.7719215,0.1507827,0.16666403605428776,0.7675161,0.1385498,0.1736033499473706
2,0.7808758,0.15238538,0.16444979782674102,0.773686,0.13882446,0.16617911297362298
3,0.78522885,0.15775251,0.16342858238603214,0.782471,0.13912964,0.16468433261616156
4,0.7897673,0.16861722,0.16246117050639738,0.8038203,0.14233398,0.1596122090704739
5,0.7926454,0.17163622,0.16176414889961405,0.8044549,0.17367554,0.1608633623109199
6,0.795186,0.17955647,0.16113027761753843,0.80932176,0.14941406,0.1598659809678793
7,0.7971014,0.18233322,0.16079414225517705,0.8094465,0.15774536,0.15862682173610665
8,0.80061674,0.17769288,0.15999668925234153,0.81385636,0.17575073,0.15668673711479641
9,0.80158716,0.18770033,0.15968750903422468,0.8168057,0.1621399,0.1564228100469336
10,0.8026571,0.18384272,0.15936410915949342,0.81749314,0.1665039,0.1560746750619728
11,0.8047473,0.18975028,0.15898203655627519,0.8204931,0.1652832,0.15550228208303452
12,0.80587727,0.18415952,0.1587405337400504,0.8200103,0.16790771,0.1556232435395941
13,0.80697846,0.1916884,0.15845883866210417,0.81705743,0.16772461,0.15601531657739542
14,0.8080226,0.18827805,0.15818680975915245,0.82275,0.16967773,0.1546175840194337
15,0.8098042,0.19107343,0.15782416793467435,0.8230963,0.15942383,0.15519993283669464
